productGuid,productSubdescription,brancheId,salesUnitId,purchaseFromWarehouse,availabilityStatusId,assortmentCode,modifiedBy,productColor,lastModified,memoEcommerce,viaCollectionWarehouse,createdBy,productType,salesVisibilityId,linkedProductId,productLabelLayoutId,isBaseProduct,useGroupInvoiceDiscount,productSize,salesUnitQuantity,additionalInfo,creationDatetime,useStock,hintInfo,deliveryFromWarehouse,originCountry,brandId,groupId,cabProfileCode,productLabelPricetagLayoutId,memoCommon,extraCostQuantity,productDescription,allowInvoiceDiscount,productLabelPricetagActionPriceLayoutId,productKindId,mintatonPosDealId,originCountryCode,productSearchCode,productNumber,bebat,productId
8BC105B9-410A-4088-B666-B13D431C12E1,Kids opz.borstel x2,1,,-1,1,Z,0,blue--white,2025-02-05T15:01:15.54,Philips,-1,,881604233030,1,,114,True,True,,1.0,,2015-12-29T10:50:36.477,True,,-1,,4,1675,100004,,Kindvriendelijke reiniging    Opzetborstels ontworpen voor kleinere mondjes  De compacte For Kids-opzetborstels van de Philips Sonicare elektrische tandenborstel zijn speciaal ontworpen voor een zachte en grondige reiniging voor kinderen van alle leeftij,1,For Kids HX6042/33 Standard-Bürstenköpfe für Schallzahnbürste,True,,1,,,HX604233,HX6042/33,-1,2218
21C3C7D3-A138-4EFD-A072-891721456FE2,Kruimelzuiger,1,,-1,2,Z,0,white,2025-02-05T15:01:00.207,,-1,,883615001010,1,,114,,True,,1.0,,2015-12-29T10:50:56.067,True,,-1,,4,1684,100004,,Dagelijks snel en eenvoudig schoonmaken met de Philips-kruimelzuiger. De kruimelzuiger wordt geleverd met oplaadbare batterijen en met de meegeleverde accessoires reinigt u kwetsbare oppervlakken en bereikt u de lastigste hoeken. - Optimale draadloze pres,1,FC6150/01 MiniVac kruimelzuiger,True,,1,,,FC615001,FC6150/01,-1,2404
04B1EC8E-B39A-427C-8D98-6F3EA57BADD5,,1,,-1,1,Z,0,black--purple,2025-02-05T15:01:09.163,,-1,,889965080010,1,,114,,True,0,1.0,,2015-12-29T10:51:07.553,True,,-1,,4,1694,100004,111,De stoomgenerator is uitgerust met een langere stoomslang en een langer netsnoer dan de rest van het assortiment. Hiermee kunt u gordijnen of kledingstukken verticaal eenvoudig stomen.,1,PerfectCare Elite GC9650/80 Strijkijzer met stoomgenerator,True,111,10,,,GC965080,GC9650/80,-1,2484
30FFE19E-74E3-46D2-AF6A-6046C0AD60D0,,1,,-1,2,Z,0,transparent,2025-02-05T15:01:07.803,Philips,-1,,884015201010,1,,114,True,True,,1.0,,2015-12-29T10:51:11.16,True,,-1,,60,1730,100004,,,1,Niplette™ SCF152/01,True,,1,,,SCF15201,SCF152/01,-1,2514
77FA8D30-D59A-4332-853B-79BD32B2339E,Massagekussen,1,,-1,2,Z,0,transparent,2025-02-05T15:01:03.363,,-1,,884016701010,1,,185,,True,,1.0,,2015-12-29T10:51:11.687,True,,-1,,60,1730,100004,,Dit zachte massagekussen heeft een wijdere trechter die speciaal is ontworpen voor moeders met grotere tepels. Het kussen kan worden gebruikt met de Philips AVENT Comfort-borstkolven. Bepaal met behulp van de onderstaande afbeeldingen of je de borstkolf m,1,"Groot massagekussen, geschikt voor alle comfort-borstkolven",True,,1,,,SCF16701,SCF167/01,-1,2519
17BA3ACE-18C2-40B0-B6AD-5EEA90AB7A5C,Wake-up light,1,,-1,1,Z,0,yellow,2025-02-05T15:01:03.85,Philips,-1,,884350001010,1,,114,,True,,1.0,,2015-12-29T10:51:40.277,True,,-1,,4,1681,100004,176,"Geïnspireerd door de zonsopgang maakt de Philips Wake-up Light gebruik van een unieke combinatie van licht en geluid om u op een natuurlijke manier te wekken. U wordt energieker wakker, zodat u gemakkelijk uit bed stapt. - Getest in de praktijk - Geleidel",1,HF3500/01 Wake-up Light,True,176,1,,,HF350001,HF3500/01,-1,2764
29FE8A95-4C69-45FD-9FFF-AD61AEE9F90C,Wake-up light,1,,-1,2,Z,0,,2025-02-05T15:01:03.887,,-1,,884350501010,1,,114,True,True,,1.0,,2015-12-29T10:51:40.357,True,,-1,,4,1681,100004,184,Word energieker wakker op natuurlijke wijze wekt Geïnspireerd door de zons opgang maakt de Philips Wake -up Light gebruik van een unieke combinatie van licht en geluid om u op een natuurlijke manier te wekken.,1,HF3505/01 Wake-up Light,True,126,1,,,HF350501,HF3505/01,-1,2765
1171B413-37E7-455B-BF76-289E2A4DB00C,,1,,-1,7,Z,0,blue--white,2025-02-05T15:01:02.963,,-1,,889002600770,1,,114,,True,,1.0,,2016-01-27T16:16:10.143,True,,-1,,4,1692,100018,,"The Philips fabric shaver allows you to easily and quickly remove fabric pills from all types of garments. All your garments, whether it is your sweater or your blanket, will look like new again!",1,GC026/00 Ontpiller,True,,1,,,GC02600,GC026/00,-1,10621
0F0D54A0-1965-41CB-884E-CE5079E5DC45,Filter v. HU4706/11,1,,-1,1,Z,0,white,2025-02-05T15:01:03.177,,-1,,883413610770,1,,114,,True,,1.0,,2016-04-11T14:39:59.75,True,,-1,,4,1705,100013,,,1,Genuine replacement filter HU4136/10 Bevochtigingsfilter,True,,1,,,HU413610,HU4136/10,-1,12988
0442E9FF-0BFF-4538-9B3D-C38C86F0D2CA,Performer Active,1,,-1,2,Z,0,black,2025-02-05T15:01:00.283,,-1,,883857809020,1,,114,,True,,1.0,,2016-05-02T13:16:23.843,True,,-1,,4,1689,,111,"Revolutionaire AirflowMax-technologie voor sterke zuigkracht
Het nieuwe 3-in-1 TriActive+-mondstuk zuigt grof en fijn stof op
Allergiefilter vangt meer dan 99,9% van fijn stof op
ActiveLock-koppelingen eenvoudig in te stellen voor elke schoonmaakklus",1,FC8578/09 Stofzuiger met stofzak Performer Active,True,,1,,,FC857809,FC8578/09,-1,13280
